tags,url,url_status
"32-bit,arm,elf,Mozi",http[:]//114[.]226[.]193[.]218[:]54860/bin[.]sh,online
"32-bit,elf,mips,Mozi",http[:]//115[.]55[.]129[.]168[:]49589/i,online
"32-bit,elf,mips,Mozi",http[:]//182[.]116[.]93[.]137[:]35917/bin[.]sh,online
"32-bit,elf,mips,Mozi",http[:]//42[.]59[.]224[.]108[:]43020/i,online
"32-bit,elf,mips,Mozi",http[:]//119[.]179[.]239[.]16[:]36247/i,online
"32-bit,elf,mips,Mozi",http[:]//182[.]127[.]165[.]85[:]51189/bin[.]sh,online
"32-bit,elf,mips,Mozi",http[:]//115[.]55[.]129[.]168[:]49589/bin[.]sh,online
"32-bit,elf,mips,Mozi",http[:]//119[.]179[.]239[.]16[:]36247/bin[.]sh,online
"32-bit,elf,mips,Mozi",http[:]//110[.]37[.]52[.]73[:]52823/i,online
"32-bit,elf,mips,Mozi",http[:]//115[.]55[.]230[.]38[:]51514/bin[.]sh,online
"elf,mirai,ua-wget",http[:]//38[.]60[.]134[.]155/001010101010010110101011101010101101010111010101/nwfaiehg4ewijfgriehgirehaughrarg[.]arm5,online
"elf,mirai,ua-wget",http[:]//38[.]60[.]134[.]155/001010101010010110101011101010101101010111010101/nwfaiehg4ewijfgriehgirehaughrarg[.]arm7,online
"elf,mirai,ua-wget",http[:]//38[.]60[.]134[.]155/001010101010010110101011101010101101010111010101/nwfaiehg4ewijfgriehgirehaughrarg[.]arm,online
"elf,mirai,ua-wget",http[:]//38[.]60[.]134[.]155/001010101010010110101011101010101101010111010101/nwfaiehg4ewijfgriehgirehaughrarg[.]m68k,online
"elf,mirai,ua-wget",http[:]//38[.]60[.]134[.]155/001010101010010110101011101010101101010111010101/nwfaiehg4ewijfgriehgirehaughrarg[.]ppc,online
"elf,mirai,ua-wget",http[:]//38[.]60[.]134[.]155/001010101010010110101011101010101101010111010101/nwfaiehg4ewijfgriehgirehaughrarg[.]mpsl,online
"elf,mirai,ua-wget",http[:]//38[.]60[.]134[.]155/001010101010010110101011101010101101010111010101/nwfaiehg4ewijfgriehgirehaughrarg[.]spc,online
"elf,mirai,ua-wget",http[:]//38[.]60[.]134[.]155/001010101010010110101011101010101101010111010101/nwfaiehg4ewijfgriehgirehaughrarg[.]i686,online
"elf,mirai,ua-wget",http[:]//38[.]60[.]134[.]155/001010101010010110101011101010101101010111010101/nwfaiehg4ewijfgriehgirehaughrarg[.]x86_64,online
"elf,mirai,ua-wget",http[:]//38[.]60[.]134[.]155/001010101010010110101011101010101101010111010101/nwfaiehg4ewijfgriehgirehaughrarg[.]arm6,online
"elf,mirai,ua-wget",http[:]//38[.]60[.]134[.]155/001010101010010110101011101010101101010111010101/nwfaiehg4ewijfgriehgirehaughrarg[.]arc,online
"elf,mirai,ua-wget",http[:]//38[.]60[.]134[.]155/001010101010010110101011101010101101010111010101/nwfaiehg4ewijfgriehgirehaughrarg[.]mips,online
"elf,mirai,ua-wget",http[:]//38[.]60[.]134[.]155/001010101010010110101011101010101101010111010101/nwfaiehg4ewijfgriehgirehaughrarg[.]x86,online
"elf,mirai,ua-wget",http[:]//38[.]60[.]134[.]155/001010101010010110101011101010101101010111010101/nwfaiehg4ewijfgriehgirehaughrarg[.]sh4,online
"32-bit,elf,mips,Mozi",http[:]//42[.]236[.]222[.]32[:]49619/bin[.]sh,online
"32-bit,elf,mips,Mozi",http[:]//116[.]138[.]109[.]196[:]48140/bin[.]sh,offline
"dropped-by-amadey,fbf543",http[:]//130[.]12[.]180[.]43/files/7103746036/5nFcTuB[.]exe,online
"32-bit,elf,mips,Mozi",http[:]//110[.]37[.]52[.]73[:]52823/bin[.]sh,online
"32-bit,elf,mips,Mozi",http[:]//125[.]44[.]62[.]241[:]49238/i,online
"32-bit,elf,mips,Mozi",http[:]//115[.]49[.]27[.]98[:]37412/i,online
"32-bit,elf,mips,Mozi",http[:]//125[.]44[.]62[.]241[:]49238/bin[.]sh,online
"32-bit,elf,mips,Mozi",http[:]//182[.]116[.]82[.]146[:]38675/bin[.]sh,online
"32-bit,elf,mips,Mozi",http[:]//115[.]55[.]56[.]147[:]50448/i,online
"32-bit,arm,elf,mirai,Mozi",http[:]//187[.]45[.]95[.]254[:]35740/i,online
